 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  5.9103  2.19048141E+06  2.19048141E+06  2.19048141E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.9745  2.19454974E+06  2.19454974E+06  2.19454974E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.0388  2.19401440E+06  2.19401440E+06  2.19401440E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1030  2.18846420E+06  2.18846420E+06  2.18846420E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1673  2.18009634E+06  2.18009634E+06  2.18009634E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2315  2.16960446E+06  2.16960446E+06  2.16960446E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2957  2.15486513E+06  2.15486513E+06  2.15486513E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.3600  2.13272188E+06  2.13272188E+06  2.13272188E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4242  2.10257443E+06  2.10257443E+06  2.10257443E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4885  2.06856598E+06  2.06856598E+06  2.06856598E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.5527  2.03775912E+06  2.03775912E+06  2.03775912E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6170  2.01560299E+06  2.01560299E+06  2.01560299E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6812  2.00185045E+06  2.00185045E+06  2.00185045E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.7454  1.99189709E+06  1.99189709E+06  1.99189709E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.8097  1.98184828E+06  1.98184828E+06  1.98184828E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.8739  1.97207566E+06  1.97207566E+06  1.97207566E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.9382  1.96581497E+06  1.96581497E+06  1.96581497E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.0024  1.96420602E+06  1.96420602E+06  1.96420602E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.0666  1.96384644E+06  1.96384644E+06  1.96384644E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.1309  1.95857545E+06  1.95857545E+06  1.95857545E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.1951  1.94270386E+06  1.94270386E+06  1.94270386E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.2594  1.91370011E+06  1.91370011E+06  1.91370011E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.3236  1.87294716E+06  1.87294716E+06  1.87294716E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.3879  1.82620643E+06  1.82620643E+06  1.82620643E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.4521  1.78247557E+06  1.78247557E+06  1.78247557E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.5163  1.75127129E+06  1.75127129E+06  1.75127129E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.5806  1.73742609E+06  1.73742609E+06  1.73742609E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.6448  1.73633189E+06  1.73633189E+06  1.73633189E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.7091  1.73541149E+06  1.73541149E+06  1.73541149E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.7733  1.72160144E+06  1.72160144E+06  1.72160144E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.8376  1.69028271E+06  1.69028271E+06  1.69028271E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.9018  1.64798419E+06  1.64798419E+06  1.64798419E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.9660  1.60733177E+06  1.60733177E+06  1.60733177E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.0303  1.57688517E+06  1.57688517E+06  1.57688517E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.0945  1.55628326E+06  1.55628326E+06  1.55628326E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.1588  1.54165890E+06  1.54165890E+06  1.54165890E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.2230  1.53268061E+06  1.53268061E+06  1.53268061E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.2873  1.53336878E+06  1.53336878E+06  1.53336878E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.3515  1.54631635E+06  1.54631635E+06  1.54631635E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.4157  1.56729876E+06  1.56729876E+06  1.56729876E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.4800  1.58593146E+06  1.58593146E+06  1.58593146E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.5442  1.59262498E+06  1.59262498E+06  1.59262498E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.6085  1.58593620E+06  1.58593620E+06  1.58593620E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.6727  1.57282519E+06  1.57282519E+06  1.57282519E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.7369  1.56115218E+06  1.56115218E+06  1.56115218E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.8012  1.55149419E+06  1.55149419E+06  1.55149419E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.8654  1.53761257E+06  1.53761257E+06  1.53761257E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.9297  1.51329440E+06  1.51329440E+06  1.51329440E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.9939  1.47864782E+06  1.47864782E+06  1.47864782E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.0582  1.44259149E+06  1.44259149E+06  1.44259149E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.1224  1.41783174E+06  1.41783174E+06  1.41783174E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.1866  1.40937221E+06  1.40937221E+06  1.40937221E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.2509  1.40837621E+06  1.40837621E+06  1.40837621E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.3151  1.40050959E+06  1.40050959E+06  1.40050959E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.3794  1.37996456E+06  1.37996456E+06  1.37996456E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.4436  1.35504022E+06  1.35504022E+06  1.35504022E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.5079  1.34171731E+06  1.34171731E+06  1.34171731E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.5721  1.35055276E+06  1.35055276E+06  1.35055276E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.6363  1.38008686E+06  1.38008686E+06  1.38008686E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.7006  1.42010005E+06  1.42010005E+06  1.42010005E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.7648  1.45972445E+06  1.45972445E+06  1.45972445E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.8291  1.49315555E+06  1.49315555E+06  1.49315555E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.8933  1.51998363E+06  1.51998363E+06  1.51998363E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.9576  1.54108693E+06  1.54108693E+06  1.54108693E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.0218  1.55599419E+06  1.55599419E+06  1.55599419E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.0860  1.56632929E+06  1.56632929E+06  1.56632929E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.1503  1.58050565E+06  1.58050565E+06  1.58050565E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.2145  1.61189688E+06  1.61189688E+06  1.61189688E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.2788  1.66865688E+06  1.66865688E+06  1.66865688E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.3430  1.74434726E+06  1.74434726E+06  1.74434726E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.4072  1.81967314E+06  1.81967314E+06  1.81967314E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.4715  1.87307863E+06  1.87307863E+06  1.87307863E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.5357  1.89286436E+06  1.89286436E+06  1.89286436E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.6000  1.88290154E+06  1.88290154E+06  1.88290154E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.6642  1.85717408E+06  1.85717408E+06  1.85717408E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.7285  1.82727901E+06  1.82727901E+06  1.82727901E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.7927  1.79534641E+06  1.79534641E+06  1.79534641E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.8569  1.76050554E+06  1.76050554E+06  1.76050554E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.9212  1.72943699E+06  1.72943699E+06  1.72943699E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.9854  1.71784241E+06  1.71784241E+06  1.71784241E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.0497  1.73911806E+06  1.73911806E+06  1.73911806E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.1139  1.79157835E+06  1.79157835E+06  1.79157835E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.1782  1.85928101E+06  1.85928101E+06  1.85928101E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.2424  1.92427806E+06  1.92427806E+06  1.92427806E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
