 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.38404000E+01  0.11181366E+07  0.11181366E+07  0.11181366E+07  0.27523588E+04  0.27523588E+04  0.27523588E+04
  0.38756000E+01  0.11039781E+07  0.11039781E+07  0.11039781E+07  0.27775861E+04  0.27775861E+04  0.27775861E+04
  0.39108000E+01  0.10922017E+07  0.10922017E+07  0.10922017E+07  0.18038746E+04  0.18038746E+04  0.18038746E+04
  0.39461000E+01  0.10848340E+07  0.10848340E+07  0.10848340E+07  0.31442556E+04  0.31442556E+04  0.31442556E+04
  0.39813000E+01  0.10821237E+07  0.10821237E+07  0.10821237E+07  0.31723030E+04  0.31723030E+04  0.31723030E+04
  0.40165000E+01  0.10829372E+07  0.10829372E+07  0.10829372E+07  0.42328423E+04  0.42328423E+04  0.42328423E+04
  0.40518000E+01  0.10854535E+07  0.10854535E+07  0.10854535E+07  0.42700436E+04  0.42700436E+04  0.42700436E+04
  0.40870000E+01  0.10880090E+07  0.10880090E+07  0.10880090E+07  0.43071396E+04  0.43071396E+04  0.43071396E+04
  0.41222000E+01  0.10899228E+07  0.10899228E+07  0.10899228E+07  0.43442356E+04  0.43442356E+04  0.43442356E+04
  0.41575000E+01  0.10917146E+07  0.10917146E+07  0.10917146E+07  0.52656765E+04  0.52656765E+04  0.52656765E+04
  0.41927000E+01  0.10948078E+07  0.10948078E+07  0.10948078E+07  0.53102591E+04  0.53102591E+04  0.53102591E+04
  0.42279000E+01  0.11010715E+07  0.11010715E+07  0.11010715E+07  0.61346993E+04  0.61346993E+04  0.61346993E+04
  0.42632000E+01  0.11119977E+07  0.11119977E+07  0.11119977E+07  0.61859198E+04  0.61859198E+04  0.61859198E+04
  0.42984000E+01  0.11280651E+07  0.11280651E+07  0.11280651E+07  0.75458998E+04  0.75458998E+04  0.75458998E+04
  0.43336000E+01  0.11486819E+07  0.11486819E+07  0.11486819E+07  0.76076939E+04  0.76076939E+04  0.76076939E+04
  0.43688000E+01  0.11722663E+07  0.11722663E+07  0.11722663E+07  0.83328217E+04  0.83328217E+04  0.83328217E+04
  0.44041000E+01  0.11966730E+07  0.11966730E+07  0.11966730E+07  0.84001511E+04  0.84001511E+04  0.84001511E+04
  0.44393000E+01  0.12195308E+07  0.12195308E+07  0.12195308E+07  0.91795967E+04  0.91795967E+04  0.91795967E+04
  0.44745000E+01  0.12388055E+07  0.12388055E+07  0.12388055E+07  0.92523833E+04  0.92523833E+04  0.92523833E+04
