     #Energy      Si_all        Si_s        Si_p        Si_d
     6.56227     0.24518     0.04038     0.20480     0.00000
     6.64827     0.26942     0.04402     0.22540     0.00000
     6.73527     0.27420     0.04390     0.23030     0.00000
     6.82127     0.26781     0.04191     0.22590     0.00000
     6.90827     0.23985     0.03645     0.20340     0.00000
     6.99427     0.21930     0.03215     0.18715     0.00000
     7.08127     0.20130     0.02778     0.17352     0.00000
     7.16727     0.19228     0.02556     0.16672     0.00000
     7.25427     0.18268     0.02337     0.15931     0.00000
     7.34027     0.17603     0.02170     0.15433     0.00000
     7.42727     0.16786     0.01996     0.14790     0.00000
     7.51327     0.15935     0.01810     0.14125     0.00000
     7.60027     0.15418     0.01664     0.13754     0.00000
     7.68627     0.14963     0.01537     0.13426     0.00000
     7.77327     0.15219     0.01438     0.13781     0.00000
     7.85927     0.15742     0.01331     0.14411     0.00000
     7.94627     0.14004     0.01132     0.12872     0.00000
     8.03227     0.12654     0.00977     0.11677     0.00000
     8.11927     0.10808     0.00840     0.09968     0.00000
     8.20527     0.08002     0.00703     0.07299     0.00000
     8.29227     0.07632     0.00649     0.06983     0.00000
     8.37827     0.07154     0.00577     0.06577     0.00000
     8.46527     0.06763     0.00525     0.06238     0.00000
     8.55127     0.06406     0.00485     0.05921     0.00000
     8.63827     0.05998     0.00432     0.05566     0.00000
     8.72427     0.05417     0.00366     0.05051     0.00000
     8.81127     0.05116     0.00326     0.04790     0.00000
     8.89727     0.04719     0.00282     0.04437     0.00000
     8.98427     0.04360     0.00248     0.04112     0.00000
     9.07027     0.04129     0.00222     0.03907     0.00000
     9.15727     0.03719     0.00189     0.03530     0.00000
     9.24327     0.03406     0.00151     0.03255     0.00000
     9.33027     0.03018     0.00124     0.02894     0.00000
     9.41627     0.02645     0.00102     0.02543     0.00000
     9.50227     0.02319     0.00083     0.02236     0.00000
     9.58927     0.02681     0.00079     0.02602     0.00000
     9.67527     0.01827     0.00045     0.01781     0.00000
     9.76227     0.01419     0.00029     0.01390     0.00000
     9.84827     0.01096     0.00019     0.01076     0.00000
     9.93527     0.01020     0.00012     0.01008     0.00000
    10.02127     0.00000     0.00000     0.00000     0.00000
    10.10827     0.00000     0.00000     0.00000     0.00000
    10.19427     0.00000     0.00000     0.00000     0.00000
    10.28127     0.00000     0.00000     0.00000     0.00000
    10.36727     0.00000     0.00000     0.00000     0.00000
    10.45427     0.00000     0.00000     0.00000     0.00000
    10.54027     0.00000     0.00000     0.00000     0.00000
    10.62727     0.00000     0.00000     0.00000     0.00000
    10.71327     0.00000     0.00000     0.00000     0.00000
    10.80027     0.00000     0.00000     0.00000     0.00000
    10.88627     0.00000     0.00000     0.00000     0.00000
    10.97327     0.00000     0.00000     0.00000     0.00000
    11.05927     0.00000     0.00000     0.00000     0.00000
    11.14627     0.00000     0.00000     0.00000     0.00000
    11.23227     0.00000     0.00000     0.00000     0.00000
    11.31927     0.00000     0.00000     0.00000     0.00000
    11.40527     0.00000     0.00000     0.00000     0.00000
    11.49227     0.00000     0.00000     0.00000     0.00000
    11.57827     0.00000     0.00000     0.00000     0.00000
    11.66527     0.00000     0.00000     0.00000     0.00000
    11.75127     0.00000     0.00000     0.00000     0.00000
    11.83827     0.00000     0.00000     0.00000     0.00000
    11.92427     0.00000     0.00000     0.00000     0.00000
    12.01127     0.00000     0.00000     0.00000     0.00000
