 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  6.4981  0.37401272E+00  0.37401272E+00  0.18056688E-01             NaN             NaN             NaN
  6.5359  0.38019250E+00  0.38019250E+00  0.16936707E-01             NaN             NaN             NaN
  6.5736  0.38826421E+00  0.38826421E+00  0.16207806E-01             NaN             NaN             NaN
  6.6114  0.39784532E+00  0.39784532E+00  0.15828298E-01             NaN             NaN             NaN
  6.6492  0.40928919E+00  0.40928919E+00  0.15624456E-01             NaN             NaN             NaN
  6.6870  0.42366720E+00  0.42366720E+00  0.15436132E-01             NaN             NaN             NaN
  6.7248  0.44292493E+00  0.44292493E+00  0.15197779E-01             NaN             NaN             NaN
  6.7625  0.46915931E+00  0.46915931E+00  0.14885366E-01             NaN             NaN             NaN
  6.8003  0.50439723E+00  0.50439723E+00  0.14556831E-01             NaN             NaN             NaN
  6.8381  0.54952116E+00  0.54952116E+00  0.14300542E-01             NaN             NaN             NaN
  6.8759  0.60356371E+00  0.60356371E+00  0.14162103E-01             NaN             NaN             NaN
  6.9136  0.66396998E+00  0.66396998E+00  0.14157455E-01             NaN             NaN             NaN
  6.9514  0.72811690E+00  0.72811690E+00  0.14230258E-01             NaN             NaN             NaN
  6.9892  0.79614606E+00  0.79614606E+00  0.14310580E-01             NaN             NaN             NaN
  7.0270  0.87132508E+00  0.87132508E+00  0.14326942E-01             NaN             NaN             NaN
  7.0648  0.95965717E+00  0.95965717E+00  0.14247212E-01             NaN             NaN             NaN
  7.1025  0.10673166E+01  0.10673166E+01  0.14058078E-01             NaN             NaN             NaN
  7.1403  0.11958066E+01  0.11958066E+01  0.13797853E-01             NaN             NaN             NaN
  7.1781  0.13357777E+01  0.13357777E+01  0.13536700E-01             NaN             NaN             NaN
  7.2159  0.14651343E+01  0.14651343E+01  0.13289143E-01             NaN             NaN             NaN
  7.2537  0.15585756E+01  0.15585756E+01  0.13044681E-01             NaN             NaN             NaN
  7.2914  0.16065363E+01  0.16065363E+01  0.12804226E-01             NaN             NaN             NaN
  7.3292  0.16196951E+01  0.16196951E+01  0.12504038E-01             NaN             NaN             NaN
  7.3670  0.16185993E+01  0.16185993E+01  0.12115808E-01             NaN             NaN             NaN
  7.4048  0.16196250E+01  0.16196250E+01  0.11627171E-01             NaN             NaN             NaN
  7.4426  0.16303288E+01  0.16303288E+01  0.11075444E-01             NaN             NaN             NaN
  7.4803  0.16512029E+01  0.16512029E+01  0.10511276E-01             NaN             NaN             NaN
  7.5181  0.16766288E+01  0.16766288E+01  0.10021002E-01             NaN             NaN             NaN
  7.5559  0.16973148E+01  0.16973148E+01  0.96543822E-02             NaN             NaN             NaN
  7.5937  0.17044186E+01  0.17044186E+01  0.94931978E-02             NaN             NaN             NaN
  7.6315  0.16926819E+01  0.16926819E+01  0.95329599E-02             NaN             NaN             NaN
  7.6692  0.16623828E+01  0.16623828E+01  0.97703507E-02             NaN             NaN             NaN
  7.7070  0.16200359E+01  0.16200359E+01  0.10143818E-01             NaN             NaN             NaN
  7.7448  0.15745884E+01  0.15745884E+01  0.10596015E-01             NaN             NaN             NaN
  7.7826  0.15348105E+01  0.15348105E+01  0.11047545E-01             NaN             NaN             NaN
  7.8204  0.15090360E+01  0.15090360E+01  0.11400672E-01             NaN             NaN             NaN
  7.8581  0.15015091E+01  0.15015091E+01  0.11600322E-01             NaN             NaN             NaN
  7.8959  0.15142917E+01  0.15142917E+01  0.11581734E-01             NaN             NaN             NaN
  7.9337  0.15440558E+01  0.15440558E+01  0.11342652E-01             NaN             NaN             NaN
  7.9715  0.15791912E+01  0.15791912E+01  0.10915719E-01             NaN             NaN             NaN
  8.0093  0.15945347E+01  0.15945347E+01  0.10366778E-01             NaN             NaN             NaN
  8.0470  0.15509438E+01  0.15509438E+01  0.98037659E-02             NaN             NaN             NaN
  8.0848  0.14156134E+01  0.14156134E+01  0.93106790E-02             NaN             NaN             NaN
  8.1226  0.12038111E+01  0.12038111E+01  0.89797729E-02             NaN             NaN             NaN
  8.1604  0.97783315E+00  0.97783315E+00  0.88587914E-02             NaN             NaN             NaN
