 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.20584000E+01  0.18131519E+06  0.18131519E+06  0.18131519E+06  0.16935054E+04  0.16935054E+04  0.16935054E+04
  0.20835000E+01  0.18645581E+06  0.18645581E+06  0.18645581E+06  0.19195068E+04  0.19195068E+04  0.19195068E+04
  0.21086000E+01  0.19229627E+06  0.19229627E+06  0.19229627E+06  0.22026867E+04  0.22026867E+04  0.22026867E+04
  0.21337000E+01  0.19915464E+06  0.19915464E+06  0.19915464E+06  0.27374883E+04  0.27374883E+04  0.27374883E+04
  0.21588000E+01  0.20732344E+06  0.20732344E+06  0.20732344E+06  0.29360070E+04  0.29360070E+04  0.29360070E+04
  0.21839000E+01  0.21702333E+06  0.21702333E+06  0.21702333E+06  0.35363730E+04  0.35363730E+04  0.35363730E+04
  0.22090000E+01  0.22837347E+06  0.22837347E+06  0.22837347E+06  0.40419502E+04  0.40419502E+04  0.40419502E+04
  0.22341000E+01  0.24135856E+06  0.24135856E+06  0.24135856E+06  0.47521038E+04  0.47521038E+04  0.47521038E+04
  0.22592000E+01  0.25583181E+06  0.25583181E+06  0.25583181E+06  0.51444260E+04  0.51444260E+04  0.51444260E+04
  0.22843000E+01  0.27150390E+06  0.27150390E+06  0.27150390E+06  0.56767860E+04  0.56767860E+04  0.56767860E+04
  0.23094000E+01  0.28795930E+06  0.28795930E+06  0.28795930E+06  0.62346651E+04  0.62346651E+04  0.62346651E+04
  0.23345000E+01  0.30470623E+06  0.30470623E+06  0.30470623E+06  0.66115121E+04  0.66115121E+04  0.66115121E+04
  0.23596000E+01  0.32119971E+06  0.32119971E+06  0.32119971E+06  0.68139392E+04  0.68139392E+04  0.68139392E+04
  0.23847000E+01  0.33691135E+06  0.33691135E+06  0.33691135E+06  0.70524668E+04  0.70524668E+04  0.70524668E+04
  0.24098000E+01  0.35140413E+06  0.35140413E+06  0.35140413E+06  0.69082743E+04  0.69082743E+04  0.69082743E+04
  0.24349000E+01  0.36440687E+06  0.36440687E+06  0.36440687E+06  0.67585782E+04  0.67585782E+04  0.67585782E+04
  0.24600000E+01  0.37588185E+06  0.37588185E+06  0.37588185E+06  0.63654682E+04  0.63654682E+04  0.63654682E+04
  0.24851000E+01  0.38606637E+06  0.38606637E+06  0.38606637E+06  0.59479493E+04  0.59479493E+04  0.59479493E+04
  0.25102000E+01  0.39549058E+06  0.39549058E+06  0.39549058E+06  0.55744983E+04  0.55744983E+04  0.55744983E+04
  0.25353000E+01  0.40493285E+06  0.40493285E+06  0.40493285E+06  0.57072909E+04  0.57072909E+04  0.57072909E+04
