#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  10
# Band-Index    1
   1.24300     11.287196     11.443849
   1.39837      9.718214      9.892436
   1.55374      8.347867      8.542448
   1.70912      7.263288      7.483341
   1.86449      7.387772      7.591924
   2.01987      8.127947      8.318240
   2.17524      7.695941      7.924663
   2.33062      7.086177      7.358354
   2.48599      6.646421      6.958120
   2.64136      6.383717      6.724908
   2.79674      6.250551      6.609249
   2.95211      6.210366      6.574809
   2.95211      6.210366      6.574809
   3.08462      6.224358      6.585753
   3.21712      6.268868      6.621061
   3.34962      6.351578      6.688273
   3.48213      6.485659      6.800507
   3.61463      6.689222      6.976228
   3.74714      6.982216      7.236657
   3.87964      7.375664      7.595484
   4.01214      7.840551      8.027836
   4.14465      8.226502      8.390394
   4.27715      8.226515      8.390408
   4.40965      7.840578      8.027867
   4.54216      7.375697      7.595521
   4.67466      6.982251      7.236697
   4.80717      6.689257      6.976269
   4.93967      6.485695      6.800549
   5.07217      6.351614      6.688314
   5.20468      6.268904      6.621102
   5.33718      6.224393      6.585794
   5.46968      6.210401      6.574850
   5.46968      6.210401      6.574850
   5.54737      6.339410      6.693695
   5.62506      6.706687      7.035184
   5.70275      7.267202      7.563437
   5.78043      7.974628      8.238874
   5.85812      8.793065      9.028511
   5.93581      9.697614      9.908039
   6.01349     10.671344     10.860178
   6.09118     11.702617     11.872698
   6.16887     12.782560     12.936184
   6.24656     13.903226     14.042345
   6.32424     15.053054     15.179799
   6.40193     16.188161     16.307472
   6.47962     16.780658     16.897525
   6.55730     16.486489     16.597840
   6.63499     16.120669     16.233940
   6.71268     15.777356     15.893816
   6.79037     15.467889     15.587733
   6.86805     15.194897     15.317986
   6.94574     14.958860     15.084873
   6.94574     14.958860     15.084873
   6.98631     15.616138     15.734087
   7.02688     16.281586     16.391567
   7.06745     16.954324     17.056351
   7.10802     17.633309     17.727295
   7.14859     18.317349     18.403083
   7.18917     19.004878     19.081979
   7.22974     19.693753     19.761598
   7.27031     20.380916     20.438521
   7.31088     21.061871     21.107684
   7.35145     21.729513     21.761089
   7.39202     22.372498     22.386055
   7.43259     22.972576     22.962686
   7.47316     23.502735     23.463265
   7.51373     23.931977     23.859828
   7.55430     24.242616     24.141774
   7.59487     24.444807     24.324119
   7.63544     24.565289     24.433063
   7.67602     24.628175     24.490215
   7.71659     24.647644     24.507966
   7.71659     24.647643     24.507966
   7.79773     24.565289     24.433063
   7.87887     24.242615     24.141774
   7.96001     23.502737     23.463269
   8.04115     22.372504     22.386064
   8.12229     21.061881     21.107698
   8.20344     19.693765     19.761614
   8.28458     18.317361     18.403100
   8.36572     16.954338     17.056369
   8.44686     15.616152     15.734106
   8.52800     14.310640     14.444897
   8.60914     13.044051     13.195622
   8.69029     11.823372     11.993925
   8.77143     10.657044     10.849028
   8.85257      9.556830      9.773644
   8.93371      8.540837      8.786887
   9.01485      7.638397      7.918607
   9.09599      6.897704      7.215263
   9.17714      6.392913      6.743397
   9.25828      6.210401      6.574850
 
# Band-Index    8
   9.25828     23.074339     22.945446
   9.17714     23.096273     22.967671
   9.09599     23.161534     23.033798
   9.01485     23.268462     23.142134
   8.93371     23.414207     23.289785
   8.85257     23.594632     23.472537
   8.77143     23.804139     23.684687
   8.69029     24.035530     23.918898
   8.60914     24.280021     24.166221
   8.52800     24.527356     24.416194
   8.44686     24.766499     24.657611
   8.36572     24.987216     24.880206
   8.28458     25.182661     25.077378
   8.20344     25.353523     25.250864
   8.12229     25.514995     25.418454
   8.04115     25.712376     25.631792
   7.96001     26.060784     26.016696
   7.87887     26.741840     26.741677
   7.79773     27.671362     27.681707
   7.71659     28.212787     28.212849
   7.71659     28.212775     28.212849
   7.67602     28.055242     28.059653
   7.63544     27.671341     27.681679
   7.59487     27.201474     27.211382
   7.55430     26.741819     26.741663
   7.51373     26.352804     26.332873
   7.47316     26.060763     26.016659
   7.43259     25.856232     25.790857
   7.39202     25.712358     25.631773
   7.35145     25.604309     25.513885
   7.31088     25.514980     25.418437
   7.27031     25.433597     25.333286
   7.22974     25.353510     25.250850
   7.18917     25.270649     25.166461
   7.14859     25.182643     25.077365
   7.10802     25.088277     24.982112
   7.06745     24.987204     24.880192
   7.02688     24.879696     24.771795
   6.98631     24.766483     24.657601
   6.94574     24.648612     24.538642
   6.94574     24.648612     24.538642
   6.86805     24.011731     23.986522
   6.79037     22.762448     22.787392
   6.71268     21.454516     21.501851
   6.63499     20.155247     20.217910
   6.55730     18.890867     18.965061
   6.47962     17.761893     17.839042
   6.40193     17.586889     17.669537
   6.32424     18.024337     18.107309
   6.24656     18.548149     18.626527
   6.16887     19.115642     19.187429
   6.09118     19.716134     19.779470
   6.01349     20.341542     20.393875
   5.93581     20.980863     21.018020
   5.85812     21.614671     21.629225
   5.78043     22.203718     22.182930
   5.70275     22.672851     22.603640
   5.62506     22.945034     22.835980
   5.54737     23.050381     22.924964
   5.46968     23.074339     22.945446
   5.46968     23.074341     22.945446
   5.33718     22.589920     22.501220
   5.20468     21.203762     21.192988
   5.07217     19.509276     19.545632
   4.93967     17.795119     17.862732
   4.80717     16.135398     16.228138
