     #Energy           s           p           d       tot  
    19.70922     1.38447     2.35558    10.13170    13.87175
    19.82322     1.38447     2.35580    10.13180    13.87207
    19.93722     1.38447     2.35590    10.13185    13.87222
    20.05122     1.38447     2.35595    10.13187    13.87229
    20.16522     1.38447     2.35596    10.13187    13.87230
    20.27922     1.38447     2.35596    10.13187    13.87231
    20.39322     1.38447     2.35596    10.13187    13.87231
    20.50722     1.38447     2.35596    10.13187    13.87231
    20.62122     1.38447     2.35596    10.13187    13.87231
    20.73522     1.38447     2.35596    10.13187    13.87231
    20.84922     1.38447     2.35596    10.13187    13.87231
    20.96322     1.38447     2.35596    10.13187    13.87231
    21.07722     1.38447     2.35596    10.13187    13.87231
    21.19122     1.38447     2.35596    10.13187    13.87231
    21.30522     1.38447     2.35596    10.13187    13.87231
    21.41922     1.38447     2.35596    10.13187    13.87231
    21.53322     1.38447     2.35596    10.13187    13.87231
    21.64722     1.38447     2.35596    10.13187    13.87231
    21.76122     1.38447     2.35596    10.13187    13.87231
    21.87522     1.38447     2.35596    10.13187    13.87231
    21.98922     1.38447     2.35596    10.13187    13.87231
    22.10322     1.38447     2.35596    10.13187    13.87231
    22.21722     1.38447     2.35596    10.13187    13.87231
