#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   3.47466    -18.508660    -18.508660
   3.45201    -18.509120    -18.509120
   3.42936    -18.509707    -18.509707
   3.40671    -18.510836    -18.510836
   3.38406    -18.511864    -18.511864
   3.36140    -18.513535    -18.513535
   3.33875    -18.514717    -18.514717
   3.31610    -18.516162    -18.516162
   3.29345    -18.517097    -18.517097
   3.27080    -18.516532    -18.516532
   3.27080    -18.516532    -18.516532
   3.24122    -18.523291    -18.523291
   3.21165    -18.527654    -18.527654
   3.18208    -18.534206    -18.534206
   3.15250    -18.544270    -18.544270
   3.12293    -18.557138    -18.557138
   3.09336    -18.573362    -18.573362
   3.06378    -18.591828    -18.591828
   3.03421    -18.612751    -18.612751
   3.00463    -18.635710    -18.635710
   2.97506    -18.660753    -18.660753
   2.94549    -18.687126    -18.687126
   2.91591    -18.714978    -18.714978
   2.88634    -18.744052    -18.744052
   2.85677    -18.774831    -18.774831
   2.82719    -18.805781    -18.805781
   2.79762    -18.837711    -18.837711
   2.76805    -18.869239    -18.869239
   2.73847    -18.901138    -18.901138
   2.70890    -18.932532    -18.932532
   2.67932    -18.963864    -18.963864
   2.64975    -18.994616    -18.994616
   2.62018    -19.024323    -19.024323
   2.59060    -19.053394    -19.053394
   2.56103    -19.081677    -19.081677
   2.53146    -19.108408    -19.108408
   2.50188    -19.133755    -19.133755
   2.47231    -19.157589    -19.157589
   2.44274    -19.179928    -19.179928
   2.41316    -19.200372    -19.200372
   2.38359    -19.218848    -19.218848
   2.35401    -19.236132    -19.236132
   2.32444    -19.250871    -19.250871
   2.29487    -19.263660    -19.263660
   2.26529    -19.274485    -19.274485
   2.23572    -19.283066    -19.283066
   2.20615    -19.290314    -19.290314
   2.17657    -19.295421    -19.295421
   2.14700    -19.298481    -19.298481
   2.11743    -19.299751    -19.299751
   2.11743    -19.299751    -19.299751
   2.10070    -19.275705    -19.275705
   2.08397    -19.247849    -19.247849
   2.06724    -19.219780    -19.219780
   2.05051    -19.191614    -19.191614
   2.03378    -19.164299    -19.164299
   2.01705    -19.136127    -19.136127
   2.00032    -19.108020    -19.108020
   1.98359    -19.079002    -19.079002
   1.96686    -19.052202    -19.052202
   1.95013    -19.024616    -19.024616
   1.93340    -18.997297    -18.997297
   1.91667    -18.970294    -18.970294
   1.89994    -18.943659    -18.943659
   1.88321    -18.917444    -18.917444
   1.86648    -18.891702    -18.891702
   1.84976    -18.866485    -18.866485
   1.83303    -18.841847    -18.841847
   1.81630    -18.816869    -18.816869
   1.79957    -18.794510    -18.794510
   1.78284    -18.771956    -18.771956
   1.76611    -18.750193    -18.750193
   1.74938    -18.729269    -18.729269
   1.73265    -18.709232    -18.709232
   1.71592    -18.690131    -18.690131
   1.69919    -18.672014    -18.672014
   1.68246    -18.654924    -18.654924
   1.66573    -18.638906    -18.638906
   1.64900    -18.623485    -18.623485
   1.63227    -18.610924    -18.610924
   1.61554    -18.598395    -18.598395
   1.59881    -18.587091    -18.587091
   1.58209    -18.577039    -18.577039
   1.56536    -18.568268    -18.568268
   1.54863    -18.560803    -18.560803
   1.53190    -18.554664    -18.554664
   1.51517    -18.549386    -18.549386
   1.49844    -18.545959    -18.545959
   1.48171    -18.543898    -18.543898
   1.46498    -18.543209    -18.543209
   1.46498    -18.543209    -18.543209
   1.42742    -18.542693    -18.542693
   1.38985    -18.541506    -18.541506
   1.35229    -18.538971    -18.538971
   1.31473    -18.535456    -18.535456
   1.27716    -18.530999    -18.530999
   1.23960    -18.525006    -18.525006
   1.20203    -18.518539    -18.518539
   1.16447    -18.511956    -18.511956
   1.12691    -18.504363    -18.504363
   1.08934    -18.496529    -18.496529
   1.05178    -18.487416    -18.487416
   1.01422    -18.478332    -18.478332
   0.97665    -18.469339    -18.469339
   0.93909    -18.460156    -18.460156
   0.90153    -18.450572    -18.450572
   0.86396    -18.440017    -18.440017
   0.82640    -18.431062    -18.431062
   0.78884    -18.422024    -18.422024
   0.75127    -18.412232    -18.412232
