#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 200  20
# Band-Index    1
   4.48544    -18.488098  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.47361    -18.486476  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.46178    -18.485049  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.44995    -18.483821  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.43812    -18.483197  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.42629    -18.482788  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.41446    -18.482580  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.40263    -18.482594  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.39080    -18.482392  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.37897    -18.482392  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.36714    -18.482594  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.35531    -18.482580  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.34348    -18.482788  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.33166    -18.483197  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.31983    -18.483821  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.30800    -18.485049  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.29617    -18.486476  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.28434    -18.488098  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.27251    -18.489914  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.26068    -18.491923  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.24885    -18.494122  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.23702    -18.496184  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.22519    -18.498758  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.21336    -18.501507  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.20153    -18.504429  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.18970    -18.506833  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.17787    -18.510055  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.16604    -18.513353  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.15421    -18.516532  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.15421    -18.516532  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.13156    -18.517097  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
