#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 200  20
# Band-Index    1
   3.65588    -18.524688  0.009  0.009  0.009  0.010  0.000  0.000  0.009  0.000  0.025  0.070
   3.67853    -18.524198  0.008  0.009  0.009  0.011  0.000  0.000  0.008  0.000  0.024  0.070
   3.70118    -18.523993  0.008  0.009  0.009  0.011  0.000  0.000  0.008  0.000  0.024  0.070
   3.72383    -18.523993  0.008  0.009  0.009  0.011  0.000  0.000  0.008  0.000  0.024  0.070
   3.74648    -18.524198  0.008  0.009  0.009  0.011  0.000  0.000  0.008  0.000  0.024  0.070
   3.76913    -18.524688  0.009  0.009  0.009  0.010  0.000  0.000  0.009  0.000  0.025  0.070
   3.79179    -18.525089  0.009  0.008  0.008  0.011  0.000  0.000  0.008  0.000  0.025  0.071
   3.81444    -18.525646  0.010  0.007  0.007  0.010  0.000  0.000  0.009  0.000  0.027  0.071
   3.83709    -18.526489  0.011  0.008  0.008  0.010  0.000  0.000  0.009  0.000  0.028  0.072
   3.85974    -18.526866  0.011  0.007  0.007  0.009  0.000  0.000  0.009  0.000  0.029  0.072
   3.88239    -18.527164  0.012  0.007  0.007  0.009  0.000  0.000  0.010  0.000  0.030  0.072
   3.90504    -18.527477  0.012  0.005  0.005  0.008  0.000  0.000  0.010  0.000  0.031  0.073
   3.92770    -18.527674  0.012  0.005  0.005  0.008  0.000  0.000  0.010  0.000  0.032  0.073
   3.95035    -18.527683  0.013  0.004  0.004  0.008  0.000  0.000  0.011  0.000  0.033  0.073
   3.97300    -18.527259  0.013  0.004  0.004  0.007  0.000  0.000  0.012  0.000  0.034  0.073
   3.99565    -18.527258  0.013  0.004  0.004  0.007  0.000  0.000  0.012  0.000  0.035  0.074
   4.01830    -18.526806  0.013  0.004  0.004  0.007  0.000  0.000  0.012  0.000  0.035  0.074
   4.04095    -18.525834  0.014  0.004  0.004  0.006  0.000  0.000  0.012  0.000  0.035  0.074
   4.06361    -18.525111  0.012  0.004  0.004  0.006  0.000  0.000  0.012  0.000  0.035  0.074
   4.08626    -18.524222  0.012  0.004  0.004  0.007  0.000  0.000  0.011  0.000  0.034  0.074
   4.10891    -18.523544  0.010  0.007  0.007  0.008  0.000  0.000  0.009  0.000  0.029  0.072
   4.13156    -18.523830  0.005  0.012  0.012  0.012  0.000  0.000  0.006  0.000  0.018  0.067
   4.15421    -18.525271  0.002  0.017  0.017  0.015  0.000  0.000  0.003  0.000  0.009  0.064
   4.15421    -18.525271  0.002  0.017  0.017  0.015  0.000  0.000  0.003  0.000  0.009  0.064
   4.16604    -18.526558  0.000  0.019  0.019  0.017  0.000  0.000  0.002  0.000  0.005  0.063
