 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.27243000E+01  0.37175740E+06  0.37175740E+06  0.37175740E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27638000E+01  0.38794826E+06  0.38794826E+06  0.38794826E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28033000E+01  0.40129875E+06  0.40129875E+06  0.40129875E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28427000E+01  0.41076293E+06  0.41076293E+06  0.41076293E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28822000E+01  0.41631468E+06  0.41631468E+06  0.41631468E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29217000E+01  0.41887080E+06  0.41887080E+06  0.41887080E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29612000E+01  0.42006055E+06  0.42006055E+06  0.42006055E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30007000E+01  0.42163653E+06  0.42163653E+06  0.42163653E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30402000E+01  0.42487509E+06  0.42487509E+06  0.42487509E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30796000E+01  0.43022151E+06  0.43022151E+06  0.43022151E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31191000E+01  0.43740658E+06  0.43740658E+06  0.43740658E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31586000E+01  0.44575482E+06  0.44575482E+06  0.44575482E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31981000E+01  0.45467256E+06  0.45467256E+06  0.45467256E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32376000E+01  0.46392083E+06  0.46392083E+06  0.46392083E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32770000E+01  0.47362963E+06  0.47362963E+06  0.47362963E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33165000E+01  0.48412025E+06  0.48412025E+06  0.48412025E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33560000E+01  0.49557123E+06  0.49557123E+06  0.49557123E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33955000E+01  0.50784314E+06  0.50784314E+06  0.50784314E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34350000E+01  0.52055523E+06  0.52055523E+06  0.52055523E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34745000E+01  0.53319233E+06  0.53319233E+06  0.53319233E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35139000E+01  0.54530958E+06  0.54530958E+06  0.54530958E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35534000E+01  0.55657104E+06  0.55657104E+06  0.55657104E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35929000E+01  0.56659284E+06  0.56659284E+06  0.56659284E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36324000E+01  0.57486982E+06  0.57486982E+06  0.57486982E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36719000E+01  0.58076244E+06  0.58076244E+06  0.58076244E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37114000E+01  0.58372122E+06  0.58372122E+06  0.58372122E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
