#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  17
# Band-Index    1
  24.79624     -5.173064     -5.173064
  24.65672     -5.176714     -5.176714
  24.51719     -5.179640     -5.179640
  24.37767     -5.181220     -5.181220
  24.23815     -5.182449     -5.182449
  24.09862     -5.182887     -5.182887
  24.09862     -5.182887     -5.182887
  23.92774     -5.183234     -5.183234
  23.75686     -5.183047     -5.183047
  23.58598     -5.182723     -5.182723
  23.41510     -5.182446     -5.182446
  23.24422     -5.182575     -5.182575
  23.07334     -5.183387     -5.183387
  22.90246     -5.185011     -5.185011
  22.73158     -5.188465     -5.188465
  22.56070     -5.194192     -5.194192
  22.38982     -5.202321     -5.202321
  22.21894     -5.213572     -5.213572
  22.04806     -5.228887     -5.228887
  21.87718     -5.246815     -5.246815
  21.70630     -5.265389     -5.265389
  21.53542     -5.278912     -5.278912
  21.36454     -5.277196     -5.277196
  21.19366     -5.252840     -5.252840
  21.02278     -5.213707     -5.213707
  20.85190     -5.169212     -5.169212
  20.68102     -5.123971     -5.123970
  20.51014     -5.079918     -5.079918
  20.33926     -5.037180     -5.037180
  20.16838     -4.997637     -4.997637
  19.99750     -4.966458     -4.966458
  19.82662     -4.968515     -4.968514
  19.65574     -4.970986     -4.970986
  19.48486     -4.973255     -4.973255
  19.31398     -4.975824     -4.975824
  19.14310     -5.014874     -5.014874
  18.97222     -5.069169     -5.069169
  18.80134     -5.125563     -5.125563
  18.63046     -5.182210     -5.182210
  18.45958     -5.239797     -5.239797
  18.28870     -5.298464     -5.298464
  18.11782     -5.358318     -5.358318
  17.94694     -5.418055     -5.418055
  17.77606     -5.457175     -5.457175
  17.60518     -5.418725     -5.418724
  17.43430     -5.366241     -5.366241
  17.43430     -5.366241     -5.366241
  17.22893     -5.390414     -5.390414
  17.02355     -5.391902     -5.391902
  16.81818     -5.311211     -5.311211
  16.61281     -5.220867     -5.220867
  16.40744     -5.165626     -5.165626
  16.20207     -5.162901     -5.162901
  15.99669     -5.183920     -5.183920
  15.79132     -5.204322     -5.204322
  15.58595     -5.217340     -5.217340
  15.38058     -5.223218     -5.223218
  15.17520     -5.223927     -5.223927
  14.96983     -5.221726     -5.221726
  14.76446     -5.217602     -5.217602
  14.55909     -5.213080     -5.213080
  14.35371     -5.209002     -5.209002
  14.14834     -5.205922     -5.205922
  13.94297     -5.204105     -5.204105
  13.73760     -5.203672     -5.203672
  13.53222     -5.204610     -5.204610
  13.32685     -5.206512     -5.206512
  13.12148     -5.209002     -5.209002
  12.91611     -5.211565     -5.211565
  12.71074     -5.214199     -5.214199
  12.50536     -5.216289     -5.216289
  12.29999     -5.217548     -5.217548
  12.09462     -5.218540     -5.218540
  11.88925     -5.217340     -5.217340
  11.68387     -5.215362     -5.215362
  11.47850     -5.213473     -5.213473
  11.27313     -5.213544     -5.213544
  11.06776     -5.219827     -5.219827
  10.86238     -5.230406     -5.230406
  10.65701     -5.232335     -5.232335
  10.45164     -5.219207     -5.219207
  10.24627     -5.201611     -5.201611
  10.04089     -5.187042     -5.187042
   9.83552     -5.178279     -5.178279
   9.63015     -5.175998     -5.175998
   9.42478     -5.181253     -5.181253
   9.42478     -5.181253     -5.181252
   9.34422     -5.181673     -5.181673
   9.26367     -5.183142     -5.183142
   9.18312     -5.185467     -5.185467
   9.10256     -5.188424     -5.188424
   9.02201     -5.191745     -5.191745
   8.94146     -5.195329     -5.195329
   8.86090     -5.198500     -5.198499
   8.78035     -5.201299     -5.201299
   8.69980     -5.203079     -5.203079
   8.61924     -5.203856     -5.203856
   8.53869     -5.203487     -5.203487
   8.45813     -5.201904     -5.201904
   8.37758     -5.199177     -5.199177
   8.29703     -5.194515     -5.194515
   8.21647     -5.189493     -5.189493
   8.13592     -5.183527     -5.183527
   8.05537     -5.177311     -5.177311
   7.97481     -5.169931     -5.169931
   7.89426     -5.162062     -5.162062
   7.81370     -5.153972     -5.153973
   7.73315     -5.145575     -5.145575
   7.65260     -5.137132     -5.137132
   7.57204     -5.128773     -5.128773
   7.49149     -5.120886     -5.120886
   7.41094     -5.113101     -5.113101
   7.33038     -5.105081     -5.105081
   7.24983     -5.098181     -5.098181
