 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  2.5664  0.49382195E+06  0.49382195E+06  0.49382195E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5962  0.49582700E+06  0.49582700E+06  0.49582700E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6261  0.49731313E+06  0.49731313E+06  0.49731313E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6559  0.49871656E+06  0.49871656E+06  0.49871656E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6858  0.50016177E+06  0.50016177E+06  0.50016177E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.7156  0.50133901E+06  0.50133901E+06  0.50133901E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.7454  0.50177152E+06  0.50177152E+06  0.50177152E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.7753  0.50092896E+06  0.50092896E+06  0.50092896E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8051  0.49833199E+06  0.49833199E+06  0.49833199E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8350  0.49381353E+06  0.49381353E+06  0.49381353E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8648  0.48742535E+06  0.48742535E+06  0.48742535E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8947  0.47952821E+06  0.47952821E+06  0.47952821E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9245  0.47059633E+06  0.47059633E+06  0.47059633E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9543  0.46124084E+06  0.46124084E+06  0.46124084E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9842  0.45205857E+06  0.45205857E+06  0.45205857E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0140  0.44360724E+06  0.44360724E+06  0.44360724E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0439  0.43648755E+06  0.43648755E+06  0.43648755E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0737  0.43126705E+06  0.43126705E+06  0.43126705E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1036  0.42857258E+06  0.42857258E+06  0.42857258E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1334  0.42889761E+06  0.42889761E+06  0.42889761E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1632  0.43260841E+06  0.43260841E+06  0.43260841E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1931  0.43981025E+06  0.43981025E+06  0.43981025E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.2229  0.45027857E+06  0.45027857E+06  0.45027857E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.2528  0.46359593E+06  0.46359593E+06  0.46359593E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.2826  0.47915462E+06  0.47915462E+06  0.47915462E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.3124  0.49638446E+06  0.49638446E+06  0.49638446E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.3423  0.51484350E+06  0.51484350E+06  0.51484350E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.3721  0.53423320E+06  0.53423320E+06  0.53423320E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4020  0.55449865E+06  0.55449865E+06  0.55449865E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4318  0.57565047E+06  0.57565047E+06  0.57565047E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4617  0.59777658E+06  0.59777658E+06  0.59777658E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4915  0.62082383E+06  0.62082383E+06  0.62082383E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
