 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  3.4318  0.36127949E-01  0.36127949E-01  0.36127949E-01             NaN             NaN             NaN
  3.4617  0.36075558E-01  0.36075558E-01  0.36075558E-01             NaN             NaN             NaN
  3.4915  0.36072666E-01  0.36072666E-01  0.36072666E-01             NaN             NaN             NaN
  3.5213  0.36117905E-01  0.36117905E-01  0.36117905E-01             NaN             NaN             NaN
  3.5512  0.36203702E-01  0.36203702E-01  0.36203702E-01             NaN             NaN             NaN
  3.5810  0.36316277E-01  0.36316277E-01  0.36316277E-01             NaN             NaN             NaN
  3.6109  0.36435424E-01  0.36435424E-01  0.36435424E-01             NaN             NaN             NaN
  3.6407  0.36538773E-01  0.36538773E-01  0.36538773E-01             NaN             NaN             NaN
  3.6705  0.36603505E-01  0.36603505E-01  0.36603505E-01             NaN             NaN             NaN
  3.7004  0.36610859E-01  0.36610859E-01  0.36610859E-01             NaN             NaN             NaN
  3.7302  0.36547157E-01  0.36547157E-01  0.36547157E-01             NaN             NaN             NaN
  3.7601  0.36406744E-01  0.36406744E-01  0.36406744E-01             NaN             NaN             NaN
  3.7899  0.36191022E-01  0.36191022E-01  0.36191022E-01             NaN             NaN             NaN
  3.8198  0.35911252E-01  0.35911252E-01  0.35911252E-01             NaN             NaN             NaN
  3.8496  0.35587637E-01  0.35587637E-01  0.35587637E-01             NaN             NaN             NaN
  3.8794  0.35249143E-01  0.35249143E-01  0.35249143E-01             NaN             NaN             NaN
  3.9093  0.34930695E-01  0.34930695E-01  0.34930695E-01             NaN             NaN             NaN
  3.9391  0.34667759E-01  0.34667759E-01  0.34667759E-01             NaN             NaN             NaN
  3.9690  0.34490853E-01  0.34490853E-01  0.34490853E-01             NaN             NaN             NaN
  3.9988  0.34421627E-01  0.34421627E-01  0.34421627E-01             NaN             NaN             NaN
  4.0286  0.34470667E-01  0.34470667E-01  0.34470667E-01             NaN             NaN             NaN
  4.0585  0.34637351E-01  0.34637351E-01  0.34637351E-01             NaN             NaN             NaN
  4.0883  0.34910650E-01  0.34910650E-01  0.34910650E-01             NaN             NaN             NaN
  4.1182  0.35270068E-01  0.35270068E-01  0.35270068E-01             NaN             NaN             NaN
  4.1480  0.35686691E-01  0.35686691E-01  0.35686691E-01             NaN             NaN             NaN
  4.1779  0.36125392E-01  0.36125392E-01  0.36125392E-01             NaN             NaN             NaN
  4.2077  0.36549164E-01  0.36549164E-01  0.36549164E-01             NaN             NaN             NaN
  4.2375  0.36926879E-01  0.36926879E-01  0.36926879E-01             NaN             NaN             NaN
  4.2674  0.37241258E-01  0.37241258E-01  0.37241258E-01             NaN             NaN             NaN
  4.2972  0.37495822E-01  0.37495822E-01  0.37495822E-01             NaN             NaN             NaN
  4.3271  0.37714401E-01  0.37714401E-01  0.37714401E-01             NaN             NaN             NaN
  4.3569  0.37937525E-01  0.37937525E-01  0.37937525E-01             NaN             NaN             NaN
  4.3867  0.38215174E-01  0.38215174E-01  0.38215174E-01             NaN             NaN             NaN
  4.4166  0.38602351E-01  0.38602351E-01  0.38602351E-01             NaN             NaN             NaN
  4.4464  0.39156257E-01  0.39156257E-01  0.39156257E-01             NaN             NaN             NaN
  4.4763  0.39937385E-01  0.39937385E-01  0.39937385E-01             NaN             NaN             NaN
  4.5061  0.41009774E-01  0.41009774E-01  0.41009774E-01             NaN             NaN             NaN
  4.5360  0.42439162E-01  0.42439162E-01  0.42439162E-01             NaN             NaN             NaN
  4.5658  0.44288237E-01  0.44288237E-01  0.44288237E-01             NaN             NaN             NaN
  4.5956  0.46606627E-01  0.46606627E-01  0.46606627E-01             NaN             NaN             NaN
  4.6255  0.49419556E-01  0.49419556E-01  0.49419556E-01             NaN             NaN             NaN
  4.6553  0.52716479E-01  0.52716479E-01  0.52716479E-01             NaN             NaN             NaN
  4.6852  0.56448266E-01  0.56448266E-01  0.56448266E-01             NaN             NaN             NaN
  4.7150  0.60528783E-01  0.60528783E-01  0.60528783E-01             NaN             NaN             NaN
  4.7449  0.64840253E-01  0.64840253E-01  0.64840253E-01             NaN             NaN             NaN
  4.7747  0.69223248E-01  0.69223248E-01  0.69223248E-01             NaN             NaN             NaN
  4.8045  0.73461435E-01  0.73461435E-01  0.73461435E-01             NaN             NaN             NaN
  4.8344  0.77275716E-01  0.77275716E-01  0.77275716E-01             NaN             NaN             NaN
  4.8642  0.80350989E-01  0.80350989E-01  0.80350989E-01             NaN             NaN             NaN
  4.8941  0.82419417E-01  0.82419417E-01  0.82419417E-01             NaN             NaN             NaN
  4.9239  0.83357672E-01  0.83357672E-01  0.83357672E-01             NaN             NaN             NaN
  4.9537  0.83242383E-01  0.83242383E-01  0.83242383E-01             NaN             NaN             NaN
  4.9836  0.82311696E-01  0.82311696E-01  0.82311696E-01             NaN             NaN             NaN
  5.0134  0.80879250E-01  0.80879250E-01  0.80879250E-01             NaN             NaN             NaN
  5.0433  0.79244622E-01  0.79244622E-01  0.79244622E-01             NaN             NaN             NaN
  5.0731  0.77641081E-01  0.77641081E-01  0.77641081E-01             NaN             NaN             NaN
  5.1030  0.76227892E-01  0.76227892E-01  0.76227892E-01             NaN             NaN             NaN
  5.1328  0.75101390E-01  0.75101390E-01  0.75101390E-01             NaN             NaN             NaN
  5.1626  0.74310475E-01  0.74310475E-01  0.74310475E-01             NaN             NaN             NaN
  5.1925  0.73872997E-01  0.73872997E-01  0.73872997E-01             NaN             NaN             NaN
  5.2223  0.73782078E-01  0.73782078E-01  0.73782078E-01             NaN             NaN             NaN
  5.2522  0.74010211E-01  0.74010211E-01  0.74010211E-01             NaN             NaN             NaN
  5.2820  0.74509352E-01  0.74509352E-01  0.74509352E-01             NaN             NaN             NaN
  5.3118  0.75207534E-01  0.75207534E-01  0.75207534E-01             NaN             NaN             NaN
  5.3417  0.76013101E-01  0.76013101E-01  0.76013101E-01             NaN             NaN             NaN
  5.3715  0.76819383E-01  0.76819383E-01  0.76819383E-01             NaN             NaN             NaN
  5.4014  0.77518216E-01  0.77518216E-01  0.77518216E-01             NaN             NaN             NaN
  5.4312  0.78016323E-01  0.78016323E-01  0.78016323E-01             NaN             NaN             NaN
  5.4611  0.78254714E-01  0.78254714E-01  0.78254714E-01             NaN             NaN             NaN
  5.4909  0.78217139E-01  0.78217139E-01  0.78217139E-01             NaN             NaN             NaN
  5.5207  0.77935031E-01  0.77935031E-01  0.77935031E-01             NaN             NaN             NaN
  5.5506  0.77477785E-01  0.77477785E-01  0.77477785E-01             NaN             NaN             NaN
  5.5804  0.76940176E-01  0.76940176E-01  0.76940176E-01             NaN             NaN             NaN
  5.6103  0.76434655E-01  0.76434655E-01  0.76434655E-01             NaN             NaN             NaN
  5.6401  0.76078562E-01  0.76078562E-01  0.76078562E-01             NaN             NaN             NaN
  5.6699  0.75986517E-01  0.75986517E-01  0.75986517E-01             NaN             NaN             NaN
  5.6998  0.76269696E-01  0.76269696E-01  0.76269696E-01             NaN             NaN             NaN
  5.7296  0.77021629E-01  0.77021629E-01  0.77021629E-01             NaN             NaN             NaN
  5.7595  0.78308153E-01  0.78308153E-01  0.78308153E-01             NaN             NaN             NaN
  5.7893  0.80139984E-01  0.80139984E-01  0.80139984E-01             NaN             NaN             NaN
  5.8192  0.82435085E-01  0.82435085E-01  0.82435085E-01             NaN             NaN             NaN
  5.8490  0.84995689E-01  0.84995689E-01  0.84995689E-01             NaN             NaN             NaN
  5.8788  0.87503168E-01  0.87503168E-01  0.87503168E-01             NaN             NaN             NaN
  5.9087  0.89585204E-01  0.89585204E-01  0.89585204E-01             NaN             NaN             NaN
  5.9385  0.90916318E-01  0.90916318E-01  0.90916318E-01             NaN             NaN             NaN
  5.9684  0.91331432E-01  0.91331432E-01  0.91331432E-01             NaN             NaN             NaN
  5.9982  0.90847354E-01  0.90847354E-01  0.90847354E-01             NaN             NaN             NaN
  6.0281  0.89636578E-01  0.89636578E-01  0.89636578E-01             NaN             NaN             NaN
  6.0579  0.87932800E-01  0.87932800E-01  0.87932800E-01             NaN             NaN             NaN
  6.0877  0.85970811E-01  0.85970811E-01  0.85970811E-01             NaN             NaN             NaN
  6.1176  0.83946236E-01  0.83946236E-01  0.83946236E-01             NaN             NaN             NaN
  6.1474  0.82010358E-01  0.82010358E-01  0.82010358E-01             NaN             NaN             NaN
  6.1773  0.80269685E-01  0.80269685E-01  0.80269685E-01             NaN             NaN             NaN
  6.2071  0.78805130E-01  0.78805130E-01  0.78805130E-01             NaN             NaN             NaN
  6.2369  0.77674652E-01  0.77674652E-01  0.77674652E-01             NaN             NaN             NaN
  6.2668  0.76924229E-01  0.76924229E-01  0.76924229E-01             NaN             NaN             NaN
  6.2966  0.76588345E-01  0.76588345E-01  0.76588345E-01             NaN             NaN             NaN
  6.3265  0.76690083E-01  0.76690083E-01  0.76690083E-01             NaN             NaN             NaN
  6.3563  0.77236924E-01  0.77236924E-01  0.77236924E-01             NaN             NaN             NaN
  6.3862  0.78220688E-01  0.78220688E-01  0.78220688E-01             NaN             NaN             NaN
  6.4160  0.79611559E-01  0.79611559E-01  0.79611559E-01             NaN             NaN             NaN
  6.4458  0.81362456E-01  0.81362456E-01  0.81362456E-01             NaN             NaN             NaN
  6.4757  0.83401257E-01  0.83401257E-01  0.83401257E-01             NaN             NaN             NaN
  6.5055  0.85636695E-01  0.85636695E-01  0.85636695E-01             NaN             NaN             NaN
  6.5354  0.87952322E-01  0.87952322E-01  0.87952322E-01             NaN             NaN             NaN
  6.5652  0.90208667E-01  0.90208667E-01  0.90208667E-01             NaN             NaN             NaN
  6.5950  0.92262996E-01  0.92262996E-01  0.92262996E-01             NaN             NaN             NaN
  6.6249  0.93965065E-01  0.93965065E-01  0.93965065E-01             NaN             NaN             NaN
  6.6547  0.95200576E-01  0.95200576E-01  0.95200576E-01             NaN             NaN             NaN
  6.6846  0.95897786E-01  0.95897786E-01  0.95897786E-01             NaN             NaN             NaN
  6.7144  0.96050575E-01  0.96050575E-01  0.96050575E-01             NaN             NaN             NaN
  6.7443  0.95721945E-01  0.95721945E-01  0.95721945E-01             NaN             NaN             NaN
  6.7741  0.95027558E-01  0.95027558E-01  0.95027558E-01             NaN             NaN             NaN
  6.8039  0.94118822E-01  0.94118822E-01  0.94118822E-01             NaN             NaN             NaN
  6.8338  0.93171445E-01  0.93171445E-01  0.93171445E-01             NaN             NaN             NaN
  6.8636  0.92372986E-01  0.92372986E-01  0.92372986E-01             NaN             NaN             NaN
  6.8935  0.91904532E-01  0.91904532E-01  0.91904532E-01             NaN             NaN             NaN
  6.9233  0.91936959E-01  0.91936959E-01  0.91936959E-01             NaN             NaN             NaN
  6.9531  0.92628816E-01  0.92628816E-01  0.92628816E-01             NaN             NaN             NaN
  6.9830  0.94095817E-01  0.94095817E-01  0.94095817E-01             NaN             NaN             NaN
  7.0128  0.96393597E-01  0.96393597E-01  0.96393597E-01             NaN             NaN             NaN
  7.0427  0.99480870E-01  0.99480870E-01  0.99480870E-01             NaN             NaN             NaN
  7.0725  0.10320632E+00  0.10320632E+00  0.10320632E+00             NaN             NaN             NaN
  7.1024  0.10728689E+00  0.10728689E+00  0.10728689E+00             NaN             NaN             NaN
  7.1322  0.11135537E+00  0.11135537E+00  0.11135537E+00             NaN             NaN             NaN
  7.1620  0.11501678E+00  0.11501678E+00  0.11501678E+00             NaN             NaN             NaN
  7.1919  0.11792950E+00  0.11792950E+00  0.11792950E+00             NaN             NaN             NaN
  7.2217  0.11988664E+00  0.11988664E+00  0.11988664E+00             NaN             NaN             NaN
  7.2516  0.12083127E+00  0.12083127E+00  0.12083127E+00             NaN             NaN             NaN
  7.2814  0.12086787E+00  0.12086787E+00  0.12086787E+00             NaN             NaN             NaN
  7.3112  0.12018908E+00  0.12018908E+00  0.12018908E+00             NaN             NaN             NaN
  7.3411  0.11906308E+00  0.11906308E+00  0.11906308E+00             NaN             NaN             NaN
  7.3709  0.11775813E+00  0.11775813E+00  0.11775813E+00             NaN             NaN             NaN
  7.4008  0.11651339E+00  0.11651339E+00  0.11651339E+00             NaN             NaN             NaN
  7.4306  0.11552813E+00  0.11552813E+00  0.11552813E+00             NaN             NaN             NaN
  7.4605  0.11491266E+00  0.11491266E+00  0.11491266E+00             NaN             NaN             NaN
  7.4903  0.11470089E+00  0.11470089E+00  0.11470089E+00             NaN             NaN             NaN
  7.5201  0.11484301E+00  0.11484301E+00  0.11484301E+00             NaN             NaN             NaN
  7.5500  0.11521098E+00  0.11521098E+00  0.11521098E+00             NaN             NaN             NaN
  7.5798  0.11563970E+00  0.11563970E+00  0.11563970E+00             NaN             NaN             NaN
  7.6097  0.11598911E+00  0.11598911E+00  0.11598911E+00             NaN             NaN             NaN
  7.6395  0.11617810E+00  0.11617810E+00  0.11617810E+00             NaN             NaN             NaN
  7.6694  0.11621102E+00  0.11621102E+00  0.11621102E+00             NaN             NaN             NaN
  7.6992  0.11616171E+00  0.11616171E+00  0.11616171E+00             NaN             NaN             NaN
  7.7290  0.11616364E+00  0.11616364E+00  0.11616364E+00             NaN             NaN             NaN
  7.7589  0.11636009E+00  0.11636009E+00  0.11636009E+00             NaN             NaN             NaN
  7.7887  0.11687296E+00  0.11687296E+00  0.11687296E+00             NaN             NaN             NaN
  7.8186  0.11779874E+00  0.11779874E+00  0.11779874E+00             NaN             NaN             NaN
  7.8484  0.11918714E+00  0.11918714E+00  0.11918714E+00             NaN             NaN             NaN
  7.8782  0.12105925E+00  0.12105925E+00  0.12105925E+00             NaN             NaN             NaN
  7.9081  0.12340470E+00  0.12340470E+00  0.12340470E+00             NaN             NaN             NaN
  7.9379  0.12617970E+00  0.12617970E+00  0.12617970E+00             NaN             NaN             NaN
  7.9678  0.12933312E+00  0.12933312E+00  0.12933312E+00             NaN             NaN             NaN
  7.9976  0.13275727E+00  0.13275727E+00  0.13275727E+00             NaN             NaN             NaN
  8.0275  0.13631356E+00  0.13631356E+00  0.13631356E+00             NaN             NaN             NaN
  8.0573  0.13980629E+00  0.13980629E+00  0.13980629E+00             NaN             NaN             NaN
  8.0871  0.14300839E+00  0.14300839E+00  0.14300839E+00             NaN             NaN             NaN
  8.1170  0.14569280E+00  0.14569280E+00  0.14569280E+00             NaN             NaN             NaN
  8.1468  0.14767941E+00  0.14767941E+00  0.14767941E+00             NaN             NaN             NaN
  8.1767  0.14888173E+00  0.14888173E+00  0.14888173E+00             NaN             NaN             NaN
  8.2065  0.14930521E+00  0.14930521E+00  0.14930521E+00             NaN             NaN             NaN
  8.2363  0.14905137E+00  0.14905137E+00  0.14905137E+00             NaN             NaN             NaN
  8.2662  0.14827058E+00  0.14827058E+00  0.14827058E+00             NaN             NaN             NaN
  8.2960  0.14714680E+00  0.14714680E+00  0.14714680E+00             NaN             NaN             NaN
  8.3259  0.14586465E+00  0.14586465E+00  0.14586465E+00             NaN             NaN             NaN
  8.3557  0.14456448E+00  0.14456448E+00  0.14456448E+00             NaN             NaN             NaN
  8.3856  0.14336547E+00  0.14336547E+00  0.14336547E+00             NaN             NaN             NaN
  8.4154  0.14231294E+00  0.14231294E+00  0.14231294E+00             NaN             NaN             NaN
  8.4452  0.14144307E+00  0.14144307E+00  0.14144307E+00             NaN             NaN             NaN
